Start Time,End Time,Duration,Engine Run Hours,Estimated Fuel,Event Type
2018-04-02 07:58:26,2018-04-02 08:02:15,0:03:49,1.4,12.72 cubic feet,Running in Manual
2018-05-05 11:49:21,2018-05-05 11:50:34,0:01:13,2.5,4.06 cubic feet,Running due to Utility Loss
2018-05-09 08:53:03,2018-05-09 08:55:11,0:02:08,2.7,7.11 cubic feet,Running due to Utility Loss
2018-05-14 17:52:47,2018-05-14 17:54:55,0:02:08,2.9,7.11 cubic feet,Running due to Utility Loss
2018-07-01 16:15:10,2018-07-01 16:17:30,0:02:20,4.4,7.78 cubic feet,Running due to Utility Loss
2018-08-28 21:38:01,2018-08-28 21:40:07,0:02:06,6.2,7.00 cubic feet,Running due to Utility Loss
2018-08-28 21:43:31,2018-08-28 21:44:43,0:01:12,6.3,4.00 cubic feet,Running due to Utility Loss
2018-08-28 21:52:02,2018-08-28 22:45:05,0:53:03,8.5,176.83 cubic feet,Running due to Utility Loss
2018-09-19 12:12:33,2018-09-19 12:15:04,0:02:31,9.2,8.39 cubic feet,Running in Manual
2018-09-25 22:27:34,2018-09-25 22:32:58,0:05:24,9.7,18.00 cubic feet,Running due to Utility Loss
2018-11-25 23:31:15,2018-11-25 23:33:41,0:02:26,11.6,8.11 cubic feet,Running due to Utility Loss
2018-11-26 00:18:06,2018-11-26 12:09:13,11:51:07,41.1,2370.39 cubic feet,Running due to Utility Loss
2018-11-29 15:10:36,2018-11-29 15:11:49,0:01:13,41.3,4.06 cubic feet,Running due to Utility Loss
2019-01-08 19:54:10,2019-01-08 19:55:23,0:01:13,42.6,4.06 cubic feet,Running due to Utility Loss
2019-01-08 20:25:37,2019-01-08 20:27:45,0:02:08,42.6,7.11 cubic feet,Running due to Utility Loss
2019-02-24 12:48:41,2019-02-24 12:49:52,0:01:11,44.1,3.94 cubic feet,Running due to Utility Loss
2019-03-14 14:47:30,2019-03-14 15:49:23,1:01:53,47.2,206.28 cubic feet,Running due to Utility Loss
